step,dense_attention,b7a1_native_sdm,b7a1_residualized_sdm,b8_native_sdm,b8_residualized_sdm
301,7.313109397888184,7.28949499130249,7.228098392486572,7.290210723876953,7.21280574798584
302,7.3195953369140625,7.305130958557129,7.234922409057617,7.313436508178711,7.231911659240723
303,7.382851600646973,7.3598833084106445,7.289909362792969,7.371735095977783,7.289928436279297
304,7.3476667404174805,7.337608814239502,7.270953178405762,7.33975887298584,7.264036655426025
305,7.432923316955566,7.407995223999023,7.337837219238281,7.417590141296387,7.337438583374023
306,7.40809440612793,7.3907270431518555,7.332305908203125,7.398992538452148,7.329931259155273
307,7.301772117614746,7.2791972160339355,7.22386360168457,7.285935878753662,7.218306541442871
308,7.33653450012207,7.329041481018066,7.267299652099609,7.33315896987915,7.261048793792725
309,7.314103603363037,7.299391746520996,7.240784645080566,7.310184001922607,7.23746395111084
310,7.373371124267578,7.3612470626831055,7.298312187194824,7.362788200378418,7.2894511222839355
311,7.26170539855957,7.251592636108398,7.199370384216309,7.254281520843506,7.19193696975708
312,7.391443252563477,7.378512859344482,7.328489303588867,7.390022277832031,7.3166117668151855
313,7.314332485198975,7.304572105407715,7.2464470863342285,7.311001777648926,7.239190578460693
314,7.376375675201416,7.374247074127197,7.318538665771484,7.385760307312012,7.314088821411133
315,7.380113124847412,7.364421367645264,7.303282737731934,7.367701530456543,7.299335479736328
316,7.365663528442383,7.336947441101074,7.278440952301025,7.342574119567871,7.27550745010376
317,7.206831932067871,7.201513290405273,7.145722389221191,7.202227592468262,7.13539457321167
318,7.326390266418457,7.319820404052734,7.247588157653809,7.324528694152832,7.242356300354004
319,7.184589385986328,7.180838584899902,7.117313385009766,7.174139976501465,7.097664833068848
320,7.17390251159668,7.158402442932129,7.087182521820068,7.159508228302002,7.077981948852539
321,7.428855895996094,7.434175968170166,7.3697638511657715,7.436951160430908,7.360637664794922
322,7.331531524658203,7.324450492858887,7.267307281494141,7.331411361694336,7.264992713928223
323,7.257017135620117,7.249387741088867,7.177407264709473,7.249343395233154,7.168496608734131
324,7.258852005004883,7.245352745056152,7.181995391845703,7.250851154327393,7.179445266723633
325,7.321819305419922,7.320617198944092,7.262461185455322,7.32088041305542,7.25347375869751
